participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
xh8tt6q04,M1,False,261.59260187633777,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.9622483049176479,-1.7312685335935374,0.9061001447914272,0.48838992733020453,0.32990963965766384,-3.773483215033417,-1.2119837416801016
xq3i744zg,M1,False,319.10399786557974,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.115813583726788,2.360454978697657,-0.5972683464374,0.1812822180542344,0.1252191791724403,-3.618020183255119,-0.6278722029647344
yj444yij9,M1,False,329.11970401857974,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.5963628718964933,-1.901083092861602,-0.0691346562123558,0.6503744203831043,-0.08542766678209301,-3.8743729058288667,-0.9021249081983479
2rrjzhgj9,M2,False,401.78420672125907,True,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.379041496252339,-0.7526293312838339,-0.8626934347654304,0.5687754889005625,0.1706139606329412,-5.266246225286557,-0.7350481881148139
3lmzwis6r,M2,False,359.13976425864547,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.14890483734870547,-0.25556008993113727,1.5986778096079448,0.8760112524401175,0.25744570779518605,-4.846899847363665,-1.0031798914775325
4f8msviwg,M2,False,257.79800463650236,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.30236821956161153,1.1277925172291487,0.4674276255031545,0.637155683239153,0.1746992127472787,-5.414198888512425,-1.3989958846100294
52b64k0rp,M2,False,401.3661919397921,True,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6581531962912983,4.60517,-3.8112146713181483,0.8386843853753797,-0.39704227698722366,-5.628265415159357,-0.7720727086120297
5wlmihb4c,M2,False,316.24483012064366,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-0.8683358494569838,-0.5281390434439962,0.4813733375009893,0.21328181054272757,-6.139655427977011,-1.0955235504875211
6owg3par9,M2,False,395.18657266131936,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30416973354403526,-0.2899888621994877,1.263579542445611,0.7361526575070937,-0.010483138573952427,-4.858716630524693,-0.7973702247975298
8py7pm5i0,M2,False,254.75305437210616,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.4333746600644859,-0.518361033505672,-0.7983262698107298,0.2100342321391353,0.08548763243462665,-6.958062343640963,-0.8493880115728245
95vrrzevd,M2,False,252.96582363410425,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.2399701038310065,2.9492588645103215,0.15680705731052036,0.5580098289016607,0.04119341655017322,-6.023508413748802,-1.1711361391936743
bh348lli7,M2,False,66.9917643350761,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,0.19719655192243904,-3.853042307625147,-1.0563423081222982,0.12442092122789233,-7.288098040172745,-0.782768966796292
c0ry57ax9,M2,False,220.53593662134207,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.3295095353690227,-4.114724063646032,0.15691490241838846,-0.2188364288882549,-10.157995311610518,-1.0645402849762025
ck5f3lx8c,M2,False,331.31595235261324,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.014523189480166995,-0.4644737514172587,0.6810069256260182,0.830672865360758,0.14232411749385138,-3.8618774276027343,-1.1786536424525023
ctdyczfpw,M2,False,247.91884394418508,True,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.1372191279647098,0.6310197854419315,1.7837226490607765,0.6535784772728238,-0.07616517032774121,-5.0439269028964535,-1.109006271946512
dasemqdsv,M2,False,337.1395432638769,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0811595875856166,-0.8087863756298704,-0.4439252338728272,0.5487073563587777,-0.016346876570202475,-5.198248638082058,-0.8743929206024245
derouhkrw,M2,False,306.3205030989242,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30419404331624456,-2.400727695062975,0.5067430915020917,0.6206129109954048,-0.03594066569124517,-6.226891036068571,-1.0522858628872855
dm8t9csqy,M2,False,291.1401016377799,True,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.056003983892867,-1.4108399169483343,1.1722450857802653,0.7141227757403265,-0.20600111452246536,-4.839583116031185,-1.0618301060796094
